GAIAID,TICID
423026756506669952, 452882551
419622462350748928, 354687510
419622977746938880, 354687562
513683006345633408, 13194946
513876859692937600, 13195145
31235033696866688, 333624314
5100356956302641536, 406479664
3257254994871286400, 401945067
3197207916098620544, nan
229154033007516800, 347994707
229154410964595328, 410193940
4871414343064541824, 170804009
3421840993510952192, 69850453
3421839717904456576, 69761150
279844229168337152, 87378409
279844263528063360, 668729042
3015582437867778048, 332855598
191298049523508608, 239097574
4656781839316354816, 31382087
3005434362156520704, 71628867
3005422611125997568, 71678713
2945644534751752704, 48887734
5565108770335311360, 369521785
3048537073399263360, 319027843
3135477931704572800, 319239872
1085034465548700800, 802475087
5595785866305529216, 144410790
5723739672264914176, 926898
703779392734147584, 3666954
703978507417193344, 3666875
599891555546067200, 366567660
5321049521489667328, 90452897
5661194163772723072, 189640779
740931340878555904, 1042982
5471345889049823744, nan
5469802724480366848, 188081322
5235273458327588224, 294372191
763969850397037952, 17971273
3493736924979792768, 5630425
6057069339664907776, 261995291
5872182405008556288, 209065683
6119528334597735296, 125835702
1287312100751643776, 286963145
6225138041345032448, 294622840
1612801833587498240, 405503787
1262763648230973440, 311188315
1272178319624018816, 237091400
1272190173733760128, 237091405
5985286073798439040, nan
5889224216794740736, 189926458
1380293091823646720, 24108819
5809378021612555008, 363140531
4327593349348911360, 203506563
6636966061468135040, 379404499
6759481141756109056, 168440606
4250327781042868224, 366684693
1762524526668814208, 341162301
1798588409277193984, 15097476
6406967509044866560, 232064183
2393563872239260928, 270218775
