GAIA_ID	field	flag_old	flag_new	T_depth [%]	radius_gspp	phot_g_mea	teff_gspphot	teff_gspphot	teff_gspphot	teff_gspphot	logg_gspphot	radius_gspp	radius_gspp	n_events	flags	n_transits	GS_01	GS_0_U	GS_23	dates	sc	gs															
423026756506669952	Sp0011+5908	transit	transit, long period, check TESS	1		12.42094231				0				2	extendedsource \\ moving	
419622462350748928	Sp0025+5422	EB	transit, likely EB, check TESS	4	0.596000016	17.42195129	4160.642578	4149.358398	4180.490723	15.56616211	4.680500031	0.603500009	0.615700006		1	1	1	0	20240822	27.1	0	
419622977746938880	Sp0025+5422	transit	transit, two	4	0.50150001	17.92190742	4964.114258	4919.816406	5016.95459	48.5690918	4.766200066	0.512600005	0.531300008		3	2	1	1	20200116 \\ 	10.5 \\ 20.5 \	3 \\ 0 \\ 0	
513683006345633408	Sp0225+6229	transit	transit, likely EB, check TESS	4		15.03508472				0				3	needcheckHP \\ needcheckHP \\ needcheckHP	
513876859692937600	Sp0225+6229	transit	transit, likely EB, check TESS	15	0.298299998	18.57758713	3384.386719	3338.830566	3433.192627	47.18103027	4.614999771	0.318899989	0.343600005		1	1	1	0	20220912	49.3	0	
31235033696866688	Sp0314+1603	SPEC target tra	transit review later			17.21717262				0					50	44	1	6	20201202 \\ 	12.3 \\ 13.5 \	2 \\ 2 \\ 2 \\ 0 \\ 2 \\ 2 \\ 0 \\ 2 \\ 1 \\ 0 \\ 1 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
5100356956302641536	Sp0334-2130	SPEC target tra	transit review later			15.76830864				0					27	25	1	2	20220913 \\ 	12.7 \\ 44.8 \	2 \\ 0 \\ 2 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
3257254994871286400	Sp0351-0052	transit	transit, check TESS	1	0.659500003	15.09743977	4537.712402	4528.052246	4545.616211	8.781982422	4.671500206	0.662500024	0.666499972		1	1	1	0	20211014	26.3	0	
3197207916098620544	Sp0409-0605	SPEC target tra	transit review later			16.66356468				0					26	24	1	2	20220923 \\ 	12.2 \\ 22.3 \	2 \\ 0 \\ 2 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
229154033007516800	Sp0419+4233	transit	transit, likely EB, check TESS	4	0.499000013	17.69421196	3638.38208	3610.184814	3673.803467	31.80932617	4.67140007	0.518899977	0.538800001	3	needcheckHP \\ needcheckHP \\ needcheckHP	
229154410964595328	Sp0419+4233	transit	transit, likely EB, check TESS	3	0.494599998	17.4489727	5027.02002	4965.924316	5121.94043	78.00805664	4.780099869	0.509000003	0.528199971	1	needcheckHP	
4871414343064541824	Sp0439-3235	SPEC target tra	transit review later			15.32058048				0					8	3	1	5	20191021 \\ 	19.0 \\ 13.1 \	1 \\ 2 \\ 0 \\ 0 \\ 2 \\ 3 \\ 3 \\ 3	
